0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
"(13, 4)","(4, 17)","(17, 1)","(1, 22)","(22, 20)","(20, 0)","(0, 6)","(6, 9)","(9, 7)","(7, 5)","(5, 19)","(19, 2)","(2, 10)","(10, 3)","(3, 12)","(12, 18)","(18, 21)","(21, 15)","(15, 11)","(11, 24)","(24, 8)","(8, 16)","(16, 23)","(23, 14)"
"(20, 2)","(2, 6)","(6, 14)","(14, 1)","(1, 19)","(19, 11)","(11, 22)","(22, 7)","(7, 9)","(9, 23)","(23, 3)","(3, 4)","(4, 17)","(17, 5)","(5, 16)","(16, 10)","(10, 0)","(0, 12)","(12, 18)","(18, 24)","(24, 15)","(15, 13)","(13, 8)","(8, 21)"
"(20, 15)","(15, 4)","(4, 3)","(3, 10)","(10, 6)","(6, 0)","(0, 24)","(24, 5)","(5, 17)","(17, 7)","(7, 18)","(18, 22)","(22, 14)","(14, 13)","(13, 1)","(1, 16)","(16, 19)","(19, 12)","(12, 8)","(8, 23)","(23, 21)","(21, 9)","(9, 11)","(11, 2)"
"(4, 9)","(9, 5)","(5, 14)","(14, 2)","(2, 19)","(19, 11)","(11, 6)","(6, 7)","(7, 21)","(21, 1)","(1, 13)","(13, 16)","(16, 8)","(8, 17)","(17, 10)","(10, 24)","(24, 20)","(20, 22)","(22, 18)","(18, 3)","(3, 23)","(23, 15)","(15, 0)","(0, 12)"
"(12, 16)","(16, 6)","(6, 11)","(11, 10)","(10, 5)","(5, 3)","(3, 9)","(9, 24)","(24, 15)","(15, 18)","(18, 8)","(8, 21)","(21, 1)","(1, 7)","(7, 0)","(0, 19)","(19, 20)","(20, 17)","(17, 13)","(13, 4)","(4, 2)","(2, 22)","(22, 23)","(23, 14)"
"(7, 3)","(3, 0)","(0, 21)","(21, 9)","(9, 2)","(2, 18)","(18, 10)","(10, 14)","(14, 23)","(23, 8)","(8, 15)","(15, 24)","(24, 17)","(17, 5)","(5, 11)","(11, 12)","(12, 4)","(4, 20)","(20, 6)","(6, 16)","(16, 13)","(13, 19)","(19, 1)","(1, 22)"
"(13, 4)","(4, 17)","(17, 1)","(1, 22)","(22, 20)","(20, 0)","(0, 6)","(6, 9)","(9, 7)","(7, 5)","(5, 19)","(19, 2)","(2, 10)","(10, 3)","(3, 12)","(12, 18)","(18, 21)","(21, 15)","(15, 11)","(11, 24)","(24, 8)","(8, 16)","(16, 23)","(23, 14)"
"(10, 17)","(17, 14)","(14, 23)","(23, 4)","(4, 16)","(16, 20)","(20, 22)","(22, 21)","(21, 12)","(12, 5)","(5, 8)","(8, 6)","(6, 3)","(3, 2)","(2, 24)","(24, 13)","(13, 9)","(9, 7)","(7, 11)","(11, 18)","(18, 15)","(15, 0)","(0, 19)","(19, 1)"
"(24, 6)","(6, 1)","(1, 7)","(7, 11)","(11, 15)","(15, 19)","(19, 5)","(5, 13)","(13, 14)","(14, 4)","(4, 22)","(22, 23)","(23, 0)","(0, 12)","(12, 8)","(8, 20)","(20, 21)","(21, 10)","(10, 3)","(3, 2)","(2, 9)","(9, 16)","(16, 18)","(18, 17)"
"(23, 0)","(0, 13)","(13, 12)","(12, 19)","(19, 7)","(7, 15)","(15, 22)","(22, 24)","(24, 11)","(11, 2)","(2, 14)","(14, 4)","(4, 1)","(1, 18)","(18, 21)","(21, 3)","(3, 5)","(5, 20)","(20, 9)","(9, 6)","(6, 16)","(16, 8)","(8, 17)","(17, 10)"
"(18, 17)","(17, 8)","(8, 4)","(4, 2)","(2, 16)","(16, 24)","(24, 23)","(23, 6)","(6, 11)","(11, 19)","(19, 0)","(0, 1)","(1, 9)","(9, 3)","(3, 7)","(7, 13)","(13, 22)","(22, 5)","(5, 21)","(21, 14)","(14, 15)","(15, 20)","(20, 10)","(10, 12)"
"(24, 20)","(20, 0)","(0, 19)","(19, 14)","(14, 13)","(13, 10)","(10, 3)","(3, 16)","(16, 2)","(2, 15)","(15, 11)","(11, 5)","(5, 9)","(9, 4)","(4, 21)","(21, 1)","(1, 22)","(22, 12)","(12, 18)","(18, 7)","(7, 8)","(8, 6)","(6, 23)","(23, 17)"
"(2, 23)","(23, 22)","(22, 7)","(7, 0)","(0, 20)","(20, 1)","(1, 3)","(3, 17)","(17, 16)","(16, 9)","(9, 24)","(24, 14)","(14, 5)","(5, 13)","(13, 15)","(15, 21)","(21, 11)","(11, 8)","(8, 18)","(18, 6)","(6, 10)","(10, 4)","(4, 12)","(12, 19)"
"(24, 6)","(6, 1)","(1, 7)","(7, 11)","(11, 15)","(15, 19)","(19, 5)","(5, 13)","(13, 14)","(14, 4)","(4, 22)","(22, 23)","(23, 0)","(0, 12)","(12, 8)","(8, 20)","(20, 21)","(21, 10)","(10, 3)","(3, 2)","(2, 9)","(9, 16)","(16, 18)","(18, 17)"
"(8, 0)","(0, 12)","(12, 22)","(22, 17)","(17, 7)","(7, 3)","(3, 19)","(19, 9)","(9, 10)","(10, 2)","(2, 20)","(20, 4)","(4, 13)","(13, 24)","(24, 1)","(1, 5)","(5, 15)","(15, 14)","(14, 6)","(6, 11)","(11, 23)","(23, 21)","(21, 18)","(18, 16)"
