voter_id,candidate_1,candidate_2
v1,c13,c4
v1,c13,c17
v1,c13,c1
v1,c13,c22
v1,c13,c20
v1,c13,c0
v1,c13,c6
v1,c13,c9
v1,c13,c7
v1,c13,c5
v1,c13,c19
v1,c13,c2
v1,c13,c10
v1,c13,c3
v1,c13,c12
v1,c13,c18
v1,c13,c21
v1,c13,c15
v1,c13,c11
v1,c13,c24
v1,c13,c8
v1,c13,c16
v1,c13,c23
v1,c13,c14
v1,c4,c17
v1,c4,c1
v1,c4,c22
v1,c4,c20
v1,c4,c0
v1,c4,c6
v1,c4,c9
v1,c4,c7
v1,c4,c5
v1,c4,c19
v1,c4,c2
v1,c4,c10
v1,c4,c3
v1,c4,c12
v1,c4,c18
v1,c4,c21
v1,c4,c15
v1,c4,c11
v1,c4,c24
v1,c4,c8
v1,c4,c16
v1,c4,c23
v1,c4,c14
v1,c17,c1
v1,c17,c22
v1,c17,c20
v1,c17,c0
v1,c17,c6
v1,c17,c9
v1,c17,c7
v1,c17,c5
v1,c17,c19
v1,c17,c2
v1,c17,c10
v1,c17,c3
v1,c17,c12
v1,c17,c18
v1,c17,c21
v1,c17,c15
v1,c17,c11
v1,c17,c24
v1,c17,c8
v1,c17,c16
v1,c17,c23
v1,c17,c14
v1,c1,c22
v1,c1,c20
v1,c1,c0
v1,c1,c6
v1,c1,c9
v1,c1,c7
v1,c1,c5
v1,c1,c19
v1,c1,c2
v1,c1,c10
v1,c1,c3
v1,c1,c12
v1,c1,c18
v1,c1,c21
v1,c1,c15
v1,c1,c11
v1,c1,c24
v1,c1,c8
v1,c1,c16
v1,c1,c23
v1,c1,c14
v1,c22,c20
v1,c22,c0
v1,c22,c6
v1,c22,c9
v1,c22,c7
v1,c22,c5
v1,c22,c19
v1,c22,c2
v1,c22,c10
v1,c22,c3
v1,c22,c12
v1,c22,c18
v1,c22,c21
v1,c22,c15
v1,c22,c11
v1,c22,c24
v1,c22,c8
v1,c22,c16
v1,c22,c23
v1,c22,c14
v1,c20,c0
v1,c20,c6
v1,c20,c9
v1,c20,c7
v1,c20,c5
v1,c20,c19
v1,c20,c2
v1,c20,c10
v1,c20,c3
v1,c20,c12
v1,c20,c18
v1,c20,c21
v1,c20,c15
v1,c20,c11
v1,c20,c24
v1,c20,c8
v1,c20,c16
v1,c20,c23
v1,c20,c14
v1,c0,c6
v1,c0,c9
v1,c0,c7
v1,c0,c5
v1,c0,c19
v1,c0,c2
v1,c0,c10
v1,c0,c3
v1,c0,c12
v1,c0,c18
v1,c0,c21
v1,c0,c15
v1,c0,c11
v1,c0,c24
v1,c0,c8
v1,c0,c16
v1,c0,c23
v1,c0,c14
v1,c6,c9
v1,c6,c7
v1,c6,c5
v1,c6,c19
v1,c6,c2
v1,c6,c10
v1,c6,c3
v1,c6,c12
v1,c6,c18
v1,c6,c21
v1,c6,c15
v1,c6,c11
v1,c6,c24
v1,c6,c8
v1,c6,c16
v1,c6,c23
v1,c6,c14
v1,c9,c7
v1,c9,c5
v1,c9,c19
v1,c9,c2
v1,c9,c10
v1,c9,c3
v1,c9,c12
v1,c9,c18
v1,c9,c21
v1,c9,c15
v1,c9,c11
v1,c9,c24
v1,c9,c8
v1,c9,c16
v1,c9,c23
v1,c9,c14
v1,c7,c5
v1,c7,c19
v1,c7,c2
v1,c7,c10
v1,c7,c3
v1,c7,c12
v1,c7,c18
v1,c7,c21
v1,c7,c15
v1,c7,c11
v1,c7,c24
v1,c7,c8
v1,c7,c16
v1,c7,c23
v1,c7,c14
v1,c5,c19
v1,c5,c2
v1,c5,c10
v1,c5,c3
v1,c5,c12
v1,c5,c18
v1,c5,c21
v1,c5,c15
v1,c5,c11
v1,c5,c24
v1,c5,c8
v1,c5,c16
v1,c5,c23
v1,c5,c14
v1,c19,c2
v1,c19,c10
v1,c19,c3
v1,c19,c12
v1,c19,c18
v1,c19,c21
v1,c19,c15
v1,c19,c11
v1,c19,c24
v1,c19,c8
v1,c19,c16
v1,c19,c23
v1,c19,c14
v1,c2,c10
v1,c2,c3
v1,c2,c12
v1,c2,c18
v1,c2,c21
v1,c2,c15
v1,c2,c11
v1,c2,c24
v1,c2,c8
v1,c2,c16
v1,c2,c23
v1,c2,c14
v1,c10,c3
v1,c10,c12
v1,c10,c18
v1,c10,c21
v1,c10,c15
v1,c10,c11
v1,c10,c24
v1,c10,c8
v1,c10,c16
v1,c10,c23
v1,c10,c14
v1,c3,c12
v1,c3,c18
v1,c3,c21
v1,c3,c15
v1,c3,c11
v1,c3,c24
v1,c3,c8
v1,c3,c16
v1,c3,c23
v1,c3,c14
v1,c12,c18
v1,c12,c21
v1,c12,c15
v1,c12,c11
v1,c12,c24
v1,c12,c8
v1,c12,c16
v1,c12,c23
v1,c12,c14
v1,c18,c21
v1,c18,c15
v1,c18,c11
v1,c18,c24
v1,c18,c8
v1,c18,c16
v1,c18,c23
v1,c18,c14
v1,c21,c15
v1,c21,c11
v1,c21,c24
v1,c21,c8
v1,c21,c16
v1,c21,c23
v1,c21,c14
v1,c15,c11
v1,c15,c24
v1,c15,c8
v1,c15,c16
v1,c15,c23
v1,c15,c14
v1,c11,c24
v1,c11,c8
v1,c11,c16
v1,c11,c23
v1,c11,c14
v1,c24,c8
v1,c24,c16
v1,c24,c23
v1,c24,c14
v1,c8,c16
v1,c8,c23
v1,c8,c14
v1,c16,c23
v1,c16,c14
v1,c23,c14
