Diversity,Representation,Proportion,Proportion,
0,0,100,100,100
0,1,100,100,100
0,2,93,92.78773306,60
0,3,90,90.08517773,20
0,4,83,83.4122016,0
1,0,100,100,100
1,1,94,95.52462506,40
1,2,92,91.85060102,20
1,3,88,88.3178856,0
1,4,83,83.31876,0
2,0,99,99.30071817,80
2,1,96,96.40846424,40
2,2,94,93.60045072,0
2,3,88,88.302312,0
2,4,84,84.09744,0
3,0,98,98.2890582,20
3,1,94,93.60862686,0
3,2,87,87.484698,0
3,3,82,81.7614,0
3,4,78,77.868,0
4,0,87,86.6515104,0
4,1,81,80.98272,0
4,2,78,77.868,0
4,3,76,75.6,0
4,4,70,70,0
