Diversity,Satisfiability,Feasibility,
0.1,71,0,66
0.1,72,0,67
0.1,71,0,66
0.1,71,0,66
0.1,73,0,68
0.2,74,0,69
0.2,75,0,70
0.2,78,0,73
0.2,77,0,72
0.2,75,0,70
0.3,81,0,76
0.3,87,0,82
0.3,81,0,76
0.3,86,0,81
0.3,85,0,80
0.4,84,0,79
0.4,89,0,84
0.4,89,0,84
0.4,82,0,77
0.4,89,0,84
0.5,90,0,85
0.5,92,0,87
0.5,84,0,79
0.5,93,0,88
0.5,91,0,86
0.6,90,0,85
0.6,90,0,85
0.6,89,0,84
0.6,89,0,84
0.6,91,0,86
0.7,92,20,92
0.7,94,20,89
0.7,92,20,92
0.7,91,20,86
0.7,92,20,92
0.8,94,20,89
0.8,95,20,90
0.8,95,20,90
0.8,95,20,90
0.8,93,20,88
0.9,95,40,90
0.9,95,40,90
0.9,96,40,96
0.9,98,40,98
0.9,98,40,98
1,100,80,98
1,100,80,97
1,100,80,100
1,100,80,100
1,100,80,100
