Diversity,Satisfiability,Feasibility
0.1,65,0
0.1,66,0
0.1,67,0
0.1,68,0
0.1,69,0
0.2,72,0
0.2,73,0
0.2,76,0
0.2,75,0
0.2,74,0
0.3,79,0
0.3,81,0
0.3,80,0
0.3,82,0
0.3,79,0
0.4,83,0
0.4,82,0
0.4,83,0
0.4,81,0
0.4,84,0
0.5,83,0
0.5,86,0
0.5,83,0
0.5,88,0
0.5,89,0
0.6,85,0
0.6,87,0
0.6,88,0
0.6,86,0
0.6,89,0
0.7,91,20
0.7,90,20
0.7,89,20
0.7,90,20
0.7,92,20
0.8,93,20
0.8,92,20
0.8,93,20
0.8,94,20
0.8,92,20
0.9,94,40
0.9,95,40
0.9,94,40
0.9,96,40
0.9,95,40
1,96,80
1,97,80
1,99,80
1,99,80
1,99,80
